mileage,Age,stroke_values,Light Type,price
89569,23,2 stroke,Single Light,350000
89565,23,2 stroke,Single Light,310000
50000,23,2 stroke,Single Light,490000
63000,23,2 stroke,Single Light,390000
65000,23,2 stroke,Single Light,430000
34534,23,2 stroke,Single Light,325000
150000,23,2 stroke,Single Light,350000
92000,23,2 stroke,Single Light,300000
6666,23,2 stroke,Single Light,260000
150000,23,2 stroke,Single Light,490000
89000,23,2 stroke,Single Light,450000
20000,23,2 stroke,Single Light,425000
50000,23,2 stroke,Single Light,400000
50000,23,2 stroke,Single Light,445000
95000,23,2 stroke,Single Light,410000
3333,23,2 stroke,Single Light,375000
62987,23,2 stroke,Single Light,400000
20000,23,2 stroke,Single Light,420000
65412,23,2 stroke,Single Light,310000
60000,23,2 stroke,Single Light,340000
70000,23,2 stroke,Single Light,460000
12500,23,2 stroke,Single Light,460000
45000,23,2 stroke,Single Light,360000
45000,23,2 stroke,Single Light,320000
30000,23,2 stroke,Single Light,600000
60000,23,2 stroke,Single Light,420000
45000,23,2 stroke,Single Light,350000
90800,23,2 stroke,Single Light,420000
80000,23,2 stroke,Single Light,400000
90700,23,2 stroke,Single Light,288000
88000,23,2 stroke,Single Light,195000
55000,23,2 stroke,Single Light,590000
10000,23,2 stroke,Single Light,375000
45000,23,2 stroke,Single Light,300000
60000,23,2 stroke,Single Light,410000
128000,23,2 stroke,Single Light,295000
30000,23,2 stroke,Single Light,400000
5585,23,2 stroke,Single Light,295000
45000,23,2 stroke,Single Light,340000
90000,23,2 stroke,Single Light,330000
41656,23,2 stroke,Single Light,398000
88600,23,2 stroke,Single Light,335000
62000,23,2 stroke,Single Light,355000
50000,23,2 stroke,Single Light,365000
65000,23,2 stroke,Single Light,290000
88000,23,2 stroke,Single Light,400000
45243,23,2 stroke,Single Light,375000
50000,23,2 stroke,Single Light,420000
65000,23,2 stroke,Single Light,350000
32132,23,2 stroke,Single Light,250000
32152,23,2 stroke,Single Light,248000
89562,23,2 stroke,Single Light,390000
12345,23,2 stroke,Single Light,350000
60000,23,2 stroke,Single Light,495000
100000,23,2 stroke,Single Light,300000
45000,23,2 stroke,Single Light,415000
16431,23,2 stroke,Single Light,308000
50000,23,2 stroke,Single Light,380000
122800,23,2 stroke,Single Light,400000
45710,23,2 stroke,Single Light,360000
46000,23,2 stroke,Single Light,316000
120000,23,2 stroke,Single Light,400000
70000,23,2 stroke,Single Light,328000
80000,23,2 stroke,Single Light,590000
68000,23,2 stroke,Single Light,410000
70000,23,2 stroke,Single Light,280000
45000,23,2 stroke,Single Light,350000
65000,23,2 stroke,Single Light,515000
70000,23,2 stroke,Single Light,400000
45000,23,2 stroke,Single Light,350000
150000,23,2 stroke,Single Light,365000
55453,23,2 stroke,Single Light,475000
120000,23,2 stroke,Single Light,450000
150000,23,2 stroke,Single Light,375000
78000,23,2 stroke,Single Light,445000
12345,23,2 stroke,Single Light,485000
45000,23,2 stroke,Single Light,350000
45000,23,2 stroke,Single Light,340000
73520,23,2 stroke,Single Light,465000
10000,23,2 stroke,Single Light,350000
98000,23,2 stroke,Single Light,260000
86000,23,2 stroke,Single Light,260000
89300,23,2 stroke,Single Light,350000
17568,23,2 stroke,Single Light,360000
154000,23,2 stroke,Single Light,370000
84562,23,2 stroke,Single Light,410000
32152,23,2 stroke,Single Light,360000
