mileage,Age,stroke_values,Light Type,price
40000,11,4 stroke,Double Light,850000
80000,16,4 stroke,Single Light,580000
44311,6,4 stroke,Double Light,1200000
21500,18,4 stroke,Single Light,650000
54645,13,4 stroke,Double Light,750000
100000,13,4 stroke,Double Light,750000
54213,17,4 stroke,Single Light,710000
45231,14,4 stroke,Double Light,735000
66000,20,2 stroke,Single Light,640000
20506,12,4 stroke,Double Light,1035000
33000,12,4 stroke,Double Light,740000
50000,23,2 stroke,Single Light,360000
38500,8,4 stroke,Double Light,1220000
89000,14,4 stroke,Double Light,600000
21522,19,2 stroke,Single Light,525000
85000,19,2 stroke,Single Light,550000
65000,16,4 stroke,Single Light,590000
65000,11,4 stroke,Double Light,775000
74512,13,4 stroke,Double Light,545000
56541,14,4 stroke,Double Light,900000
10000,10,4 stroke,Double Light,870000
32152,20,2 stroke,Single Light,460000
35000,16,4 stroke,Single Light,650000
44331,9,4 stroke,Double Light,885000
80000,16,4 stroke,Single Light,750000
30000,7,4 stroke,Double Light,1300000
25000,13,4 stroke,Double Light,825000
35000,10,4 stroke,Double Light,1050000
53321,9,4 stroke,Double Light,930000
35000,13,4 stroke,Double Light,650000
12345,15,4 stroke,Single Light,670000
53698,15,4 stroke,Single Light,600000
35000,10,4 stroke,Double Light,1075000
62828,15,4 stroke,Single Light,590000
45000,16,4 stroke,Single Light,650000
65000,12,4 stroke,Double Light,850000
36800,11,4 stroke,Double Light,875000
150000,19,2 stroke,Single Light,550000
57263,8,4 stroke,Double Light,945000
45000,15,4 stroke,Single Light,790000
20000,6,4 stroke,Double Light,1225000
25800,8,4 stroke,Double Light,980000
32336,7,4 stroke,Double Light,1250000
25381,8,4 stroke,Double Light,800000
32211,11,4 stroke,Double Light,750000
50000,17,2 stroke,Single Light,780000
65000,9,4 stroke,Double Light,1000000
70000,9,4 stroke,Double Light,1300000
98300,18,2 stroke,Single Light,565000
65000,15,4 stroke,Single Light,550000
56000,12,4 stroke,Double Light,695000
55000,16,4 stroke,Single Light,575000
83000,8,4 stroke,Double Light,1090000
40000,9,4 stroke,Double Light,930000
25000,12,4 stroke,Double Light,685000
75400,11,4 stroke,Double Light,910000
24500,19,2 stroke,Single Light,575000
65000,12,4 stroke,Double Light,850000
25000,8,4 stroke,Double Light,1200000
50000,11,4 stroke,Double Light,900000
80000,17,2 stroke,Single Light,620000
80000,22,2 stroke,Single Light,560000
10211,10,4 stroke,Double Light,975000
20000,15,4 stroke,Single Light,620000
75000,12,4 stroke,Double Light,795000
80000,12,4 stroke,Double Light,1050000
45000,12,4 stroke,Double Light,840000
85000,10,4 stroke,Double Light,750000
42525,18,2 stroke,Single Light,475000
35000,12,4 stroke,Double Light,750000
34334,10,4 stroke,Double Light,870000
42699,8,4 stroke,Double Light,1090000
31000,13,4 stroke,Double Light,840000
36000,11,4 stroke,Double Light,870000
125000,19,2 stroke,Single Light,645000
75000,8,4 stroke,Double Light,900000
35899,9,4 stroke,Double Light,1150000
88000,9,4 stroke,Double Light,1150000
43323,20,2 stroke,Single Light,525000
44524,7,4 stroke,Double Light,1030000
31352,8,4 stroke,Double Light,970000
46000,8,4 stroke,Double Light,970000
