iter	RMSE
0	227687.7756
1	211017.8763
2	196670.504
3	183982.2389
4	172948.9765
5	163465.5216
6	155170.8326
7	148130.1334
8	142037.1693
9	136745.5694
10	132402.6641
11	128611.4033
12	125378.4199
13	122603.5815
14	120290.0071
15	118400.6803
16	116865.1818
17	115833.6454
18	114722.2466
19	113783.0734
20	112992.2594
21	112348.2973
22	111686.7657
23	111327.6795
24	110837.1859
25	110469.7047
26	110202.2716
27	109935.2767
28	109721.3955
29	109485.1687
30	109288.6789
31	109162.185
32	109089.4679
33	108931.715
34	108856.4764
35	108793.8526
36	108692.6911
37	108656.7169
38	108567.2602
39	108479.6513
40	108467.1877
41	108391.3414
42	108366.9102
43	108294.3176
44	108264.6482
45	108233.7588
46	108181.8189
47	108165.3239
48	108149.0951
49	108139.0779
50	108126.9196
51	108093.1439
52	108089.0348
53	108047.6795
54	107985.6909
55	107982.7043
56	107944.6476
57	107926.2402
58	107898.656
59	107862.0809
60	107841.6099
61	107831.6419
62	107803.5638
63	107763.7931
64	107747.3491
65	107714.5483
66	107683.5739
67	107660.5348
68	107635.9701
69	107607.4061
70	107595.2954
71	107583.1295
72	107574.9702
73	107560.1099
74	107536.3609
75	107530.899
76	107498.2194
77	107477.0766
78	107474.3914
79	107470.6861
80	107446.4729
81	107421.189
82	107394.1414
83	107360.8271
84	107354.3565
85	107314.7084
86	107298.3716
87	107290.7404
88	107250.5421
89	107240.7289
90	107211.2299
91	107180.8143
92	107154.3005
93	107129.442
94	107111.1569
95	107091.9962
96	107068.7353
97	107041.0718
98	107040.734
99	107030.3671
