iter	Passed	Remaining
0	14	1425
1	27	1360
2	36	1165
3	41	993
4	55	1048
5	63	992
6	76	1022
7	80	929
8	88	897
9	92	833
10	96	779
11	109	800
12	121	815
13	126	779
14	139	792
15	152	801
16	156	763
17	158	720
18	161	686
19	168	674
20	181	684
21	184	655
22	198	663
23	200	634
24	213	639
25	226	643
26	230	622
27	235	605
28	248	608
29	261	610
30	275	612
31	282	600
32	284	578
33	297	578
34	301	559
35	304	542
36	310	528
37	313	510
38	327	511
39	342	514
40	345	496
41	361	499
42	366	486
43	377	480
44	386	472
45	394	463
46	413	465
47	417	451
48	420	437
49	424	424
50	427	410
51	443	409
52	446	395
53	454	387
54	468	383
55	470	370
56	485	365
57	490	355
58	504	350
59	509	339
60	515	329
61	518	318
62	522	306
63	530	298
64	538	289
65	550	283
66	563	277
67	567	267
68	580	260
69	583	250
70	587	240
71	591	230
72	594	219
73	600	210
74	615	205
75	620	195
76	635	189
77	649	183
78	651	173
79	654	163
80	667	156
81	682	149
82	698	143
83	714	136
84	720	127
85	737	120
86	741	110
87	744	101
88	763	94
89	769	85
90	795	78
91	824	71
92	841	63
93	860	54
94	868	45
95	883	36
96	896	27
97	909	18
98	911	9
99	914	0
